name,sido,sigg,parcels,lat,lng,near_canoe
[상수원보호] 경상북도 경주시 #3,경상북도,경주시,1,35.8152508,129.1989833,False
[상수원보호] 경상북도 경주시 #4,경상북도,경주시,1,35.8476181,129.3175944,False
[상수원보호] 경상북도 경주시 #5,경상북도,경주시,1,36.0185059,129.2643281,False
[상수원보호] 경상북도 경주시 #6,경상북도,경주시,1,36.0280008,129.2458995,False
[상수원보호] 경상북도 고령군 #1,경상북도,고령군,2,35.8445201,128.4440615,False
[상수원보호] 경상북도 고령군 #2,경상북도,고령군,1,35.7339412,128.2800843,False
[상수원보호] 경상북도 구미시,경상북도,구미시,1,36.182647,128.3770585,False
[상수원보호] 경상북도 김천시 #1,경상북도,김천시,1,36.1057993,128.1254451,False
[상수원보호] 경상북도 김천시 #2,경상북도,김천시,1,35.9717274,128.0207283,False
[상수원보호] 경상북도 문경시 #1,경상북도,문경시,1,36.7618483,128.1566472,False
[상수원보호] 경상북도 문경시 #2,경상북도,문경시,1,36.6268521,128.0483288,False
[상수원보호] 경상북도 문경시 #3,경상북도,문경시,1,36.5779315,128.2886023,False
[상수원보호] 경상북도 봉화군 #1,경상북도,봉화군,2,36.8125284,128.9610818,False
[상수원보호] 경상북도 봉화군 #2,경상북도,봉화군,1,36.9943257,128.7233513,False
[상수원보호] 경상북도 봉화군 #3,경상북도,봉화군,2,36.9000531,128.7349057,False
[상수원보호] 경상북도 봉화군 #4,경상북도,봉화군,1,36.9607897,128.9099306,False
[상수원보호] 경상북도 봉화군 #5,경상북도,봉화군,1,36.9631266,128.9824394,False
[상수원보호] 경상북도 봉화군 #6,경상북도,봉화군,3,37.0514967,129.0881918,False
[상수원보호] 경상북도 봉화군 #7,경상북도,봉화군,1,36.7758428,128.8916988,False
[상수원보호] 경상북도 봉화군 #8,경상북도,봉화군,1,36.7984053,128.9363658,False
[상수원보호] 경상북도 봉화군 #9,경상북도,봉화군,1,36.7994352,129.0105502,False
[상수원보호] 경상북도 봉화군 #10,경상북도,봉화군,1,36.7948281,128.9735453,False
[상수원보호] 경상북도 봉화군 #11,경상북도,봉화군,1,37.050988,129.1061002,False
[상수원보호] 경상북도 봉화군 #12,경상북도,봉화군,1,36.976675,128.9074585,False
[상수원보호] 경상북도 봉화군 #13,경상북도,봉화군,1,36.9740803,128.9708774,False
