mnum,name,sido,sigg,dyear,dnum,lat,lng
53100004817020040000UMI1000001011,상수원보호구역,경상남도,진주시,2004,0000,35.2632797,127.9908083
53100004817019840000UMI1000001351,상수원보호구역,경상남도,진주시,1984,0000,35.1565814,128.0226017
53100004817020040664UMI1000001001,상수원보호구역,경상남도,진주시,2004,0664,35.1863773,127.992229
53100004817020040944UMI1000001001,상수원보호구역,경상남도,진주시,2004,0944,35.1605249,127.9684167
53100004817020041049UMI1000001001,상수원보호구역,경상남도,진주시,2004,1049,35.2226488,127.9497527
53100004817019840000UMI1000001182,상수원보호구역,경상남도,진주시,1984,0000,35.2275304,127.9645775
53100004817020040000UMI1000001099,상수원보호구역,경상남도,진주시,2004,0000,35.2527988,127.9839721
53100004817020041233UMI1000001001,상수원보호구역,경상남도,진주시,2004,1233,35.2321779,127.9882474
53100004817020040000UMI1000001030,상수원보호구역,경상남도,진주시,2004,0000,35.25304,127.9820627
53100004817020040269UMI1000001001,상수원보호구역,경상남도,진주시,2004,0269,35.1707618,128.0171713
53100004817020040513UMI1000001001,상수원보호구역,경상남도,진주시,2004,0513,35.1628734,127.9857161
53100004817020040157UMI1000001001,상수원보호구역,경상남도,진주시,2004,0157,35.184833,127.9851091
53100004817020041139UMI1000001001,상수원보호구역,경상남도,진주시,2004,1139,35.1633438,127.9865409
53100004817020040492UMI1000001001,상수원보호구역,경상남도,진주시,2004,0492,35.1699939,127.9954222
53100004817020040034UMI1000001001,상수원보호구역,경상남도,진주시,2004,0034,35.1972899,128.0091651
53100004817020040197UMI1000001001,상수원보호구역,경상남도,진주시,2004,0197,35.1849462,127.9753916
53100004817020040633UMI1000001001,상수원보호구역,경상남도,진주시,2004,0633,35.2542852,127.984924
53100004817020040408UMI1000001001,상수원보호구역,경상남도,진주시,2004,0408,35.1682887,128.0388137
53100004817020040386UMI1000001001,상수원보호구역,경상남도,진주시,2004,0386,35.1722839,128.0321157
53100004817020040000UMI1000001166,상수원보호구역,경상남도,진주시,2004,0000,35.2283602,127.9622475
53100004817020040214UMI1000001001,상수원보호구역,경상남도,진주시,2004,0214,35.1726614,127.99036
53100004817020040780UMI1000001001,상수원보호구역,경상남도,진주시,2004,0780,35.1610814,128.0291919
53100004817020040731UMI1000001001,상수원보호구역,경상남도,진주시,2004,0731,35.2376906,127.9940974
53100004817020040234UMI1000001001,상수원보호구역,경상남도,진주시,2004,0234,35.1861815,127.9792997
53100004817020040533UMI1000001001,상수원보호구역,경상남도,진주시,2004,0533,35.2491535,127.9792904
53100004817020040000UMI1000001263,상수원보호구역,경상남도,진주시,2004,0000,35.1960889,127.9942752
53100004817020040103UMI1000001001,상수원보호구역,경상남도,진주시,2004,0103,35.1721592,127.9726308
53100004817020040084UMI1000001001,상수원보호구역,경상남도,진주시,2004,0084,35.2048828,127.9715049
53100004817020041154UMI1000001001,상수원보호구역,경상남도,진주시,2004,1154,35.1610888,128.0075064
53100004817020040122UMI1000001001,상수원보호구역,경상남도,진주시,2004,0122,35.1793185,127.9436264
53100004817020041031UMI1000001001,상수원보호구역,경상남도,진주시,2004,1031,35.2364633,127.9728682
53100004817020040327UMI1000001001,상수원보호구역,경상남도,진주시,2004,0327,35.156817,128.016601
53100004817020040493UMI1000001001,상수원보호구역,경상남도,진주시,2004,0493,35.1710074,127.9934735
53100004817020040840UMI1000001001,상수원보호구역,경상남도,진주시,2004,0840,35.1558429,128.0178197
53100004817020040000UMI1000001027,상수원보호구역,경상남도,진주시,2004,0000,35.2528835,127.9777954
53100004817020041237UMI1000001001,상수원보호구역,경상남도,진주시,2004,1237,35.2298631,127.9777555
53100004817020040498UMI1000001001,상수원보호구역,경상남도,진주시,2004,0498,35.1648793,127.990768
53100004817020040000UMI1000001078,상수원보호구역,경상남도,진주시,2004,0000,35.2570904,127.9953376
53100004817020040522UMI1000001001,상수원보호구역,경상남도,진주시,2004,0522,35.2459729,127.9803114
53100004817020060001UMI1000001001,상수원보호구역,경상남도,진주시,2006,0001,35.1543554,128.0165311
53100004817020040980UMI1000001001,상수원보호구역,경상남도,진주시,2004,0980,35.16917,128.0399171
53100004817020040456UMI1000001001,상수원보호구역,경상남도,진주시,2004,0456,35.1645007,127.9995328
53100004817020040132UMI1000001001,상수원보호구역,경상남도,진주시,2004,0132,35.1755014,127.9834178
53100004817020040733UMI1000001001,상수원보호구역,경상남도,진주시,2004,0733,35.2295802,127.9794033
53100004817020040399UMI1000001001,상수원보호구역,경상남도,진주시,2004,0399,35.1689218,128.0378579
53100004817020040590UMI1000001001,상수원보호구역,경상남도,진주시,2004,0590,35.2603304,127.9885355
53100004817020041090UMI1000001001,상수원보호구역,경상남도,진주시,2004,1090,35.212334,127.9841452
53900004817020040005UMI1000001001,상수원보호구역,경상남도,진주시,2004,0005,35.204051,127.9748844
53900004817020040003UMI1000001001,상수원보호구역,경상남도,진주시,2004,0003,35.1696631,128.0392181
